p_value: 0.46549372327978356, z_value: 0.11547005383792514
p_value: 0.3213445856031378, z_value: 0.47425200683433544
p_value: 0.4753042741381781, z_value: 0.06757373783994859
p_value: 0.679143290260352, z_value: -0.4616406756364325
p_value: 0.9198421954109177, z_value: -1.4013865624875463

p_value: 0.10724690389175873, z_value: 1.2701705922171767
p_value: 0.04255822501357513, z_value: 1.7320508075688774
p_value: 0.11961586137053803, z_value: 1.1825404121991003
p_value: 0.08247936254478527, z_value: 1.3922496566813043
p_value: 0.23202779442251092, z_value: 0.7348094335140692

p_value: 0.0003657409959071128, z_value: 3.4063665882187917
p_value: 1.0029455186038918e-06, z_value: 4.763139720814412
p_value: 1.0534324195398023e-08, z_value: 5.608620240715734
p_value: 1.3705736433771581e-10, z_value: 6.316416863469918
p_value: 7.013723052238334e-12, z_value: 6.760246788329437

p_value: 0.1703893067814773, z_value: 0.9814954576223637
p_value: 0.032485406236557705, z_value: 1.8557687223952257
p_value: 0.08043447405876891, z_value: 1.4077862049989291
p_value: 0.022529313650892523, z_value: 2.007770557529881
p_value: 0.09341205679365083, z_value: 1.3226569803253245

p_value: 0.09696542614120535, z_value: 1.3279056191361391
p_value: 0.10993585531435157, z_value: 1.2371791482634837
p_value: 0.20072326960025327, z_value: 0.8446717229993574
p_value: 0.11402540658690946, z_value: 1.2090589123811328
p_value: 0.1968563252428029, z_value: 0.8555281261628092

p_value: 0.009686659665796444, z_value: 2.367136103677465
p_value: 0.0001072794479782924, z_value: 3.7115374447904514
p_value: 1.5051991772923163e-05, z_value: 4.178309456436821
p_value: 9.633143851678034e-08, z_value: 5.209944767896881
p_value: 2.2408791170439704e-09, z_value: 5.867978190490924

p_value: 0.21786533001586827, z_value: 0.808290376865476
p_value: 0.06224906807046411, z_value: 1.5464739353293548
p_value: 0.0821289727008474, z_value: 1.3965239153589377
p_value: 0.18665052709217128, z_value: 0.8939708321848375
p_value: 0.29892730415041713, z_value: 0.5301125198922928

p_value: 9.808073685327135e-05, z_value: 3.752776749732567
p_value: 3.9381709410764524e-07, z_value: 4.948716593053935
p_value: 9.870751970487982e-09, z_value: 5.619882530355725
p_value: 1.133538645204874e-10, z_value: 6.345727382557945
p_value: 2.337970149727113e-12, z_value: 6.91770595265388

p_value: 0.11829204666093807, z_value: 1.212435565298214
p_value: 0.012635580888435301, z_value: 2.247542119345329
p_value: 0.037124745865722536, z_value: 1.7907040527586378
p_value: 0.028140880035711264, z_value: 1.9125113704937917
p_value: 0.14273815442594112, z_value: 1.070722317406215

p_value: 0.023193296640699322, z_value: 2.02072594216369
p_value: 0.008619510279295485, z_value: 2.3918796866427354
p_value: 0.027415033976739875, z_value: 1.925851528438535
p_value: 0.016339540690946713, z_value: 2.1396678934260045
p_value: 0.11933464566596613, z_value: 1.1809437324333256

p_value: 0.01519141098828875, z_value: 2.1939310229205775
p_value: 7.109544375940641e-05, z_value: 3.814635707145742
p_value: 8.252055387676108e-07, z_value: 4.79773538663635
p_value: 4.5012520243951355e-09, z_value: 5.7521893710253895
p_value: 2.533544293153192e-10, z_value: 6.2196369908155145

p_value: 0.5345062767202164, z_value: -0.05773502691896257
p_value: 0.26470745932887463, z_value: 0.6392092266028
p_value: 0.3002448362287082, z_value: 0.5293276130795973
p_value: 0.4547860603284438, z_value: 0.11724207635210984
p_value: 0.6788568443351022, z_value: -0.46188021535170065

p_value: 0.0008260197281170818, z_value: 3.1754264805429413
p_value: 4.019272426071064e-06, z_value: 4.4744645862196
p_value: 1.364690461733242e-07, z_value: 5.146866365476085
p_value: 1.567306406545717e-09, z_value: 5.928052485553554
p_value: 5.86816722687199e-11, z_value: 6.44532845968055

p_value: 0.07860637667000193, z_value: 1.4433756729740643
p_value: 0.04446010328882552, z_value: 1.7114311550978192
p_value: 0.07550943307126294, z_value: 1.4415730739189034
p_value: 0.07918590850529822, z_value: 1.414232545997325
p_value: 0.126814540752133, z_value: 1.144203260757622

p_value: 0.00012310311641138623, z_value: 3.6950417228136043
p_value: 1.2007625250896612e-07, z_value: 5.175532770235574
p_value: 6.160668441161688e-10, z_value: 6.081636405595374
p_value: 3.387428818649144e-12, z_value: 6.865989096370432
p_value: 3.287101916623595e-13, z_value: 7.190635170816249

p_value: 0.6245840579554416, z_value: -0.28867513459481287
p_value: 0.45485351365828686, z_value: 0.12371791482634838
p_value: 0.361383902994649, z_value: 0.36039326847972586
p_value: 0.27274584573148425, z_value: 0.6081932710765698
p_value: 0.304415694320427, z_value: 0.5143666034598484

p_value: 0.2916802333513516, z_value: 0.5773502691896257
p_value: 0.23842501092180934, z_value: 0.7216878364870323
p_value: 0.2303544728988196, z_value: 0.7433111162394346
p_value: 0.18080806311564457, z_value: 0.9159537215008582
p_value: 0.29529353712606904, z_value: 0.5406097975139224

p_value: 0.511545020784039, z_value: 0.0
p_value: 0.5041156341173944, z_value: 0.0
p_value: 0.5022471403100517, z_value: 0.0
p_value: 0.5014618853767093, z_value: 0.0
p_value: 0.5010470598481013, z_value: 0.0

p_value: 0.20125191189100178, z_value: 0.8660254037844386
p_value: 0.15864239477619752, z_value: 1.0103629710818451
p_value: 0.28095463963330314, z_value: 0.5856390612795545
p_value: 0.3367538829526438, z_value: 0.42500252677639816
p_value: 0.3794044192230674, z_value: 0.309669689838072

p_value: 0.39750608598211906, z_value: 0.28867513459481287
p_value: 0.04255822501357513, z_value: 1.7320508075688774
p_value: 0.021034179487529735, z_value: 2.038474424838449
p_value: 0.04922850269864781, z_value: 1.6560443284735515
p_value: 0.16642884459366508, z_value: 0.9709981800007343

p_value: 0.03030098485600307, z_value: 1.9052558883257649
p_value: 0.034012645926040766, z_value: 1.8351490699241677
p_value: 0.04611864142687389, z_value: 1.6893434459987149
p_value: 0.019569249458124143, z_value: 2.066391595705936
p_value: 0.027865779833489212, z_value: 1.9157531659473948

p_value: 0.07860637667000193, z_value: 1.4433756729740643
p_value: 0.0987462837274865, z_value: 1.299038105676658
p_value: 0.1312295468614234, z_value: 1.1262289639991432
p_value: 0.13665305891858198, z_value: 1.0991444658010299
p_value: 0.12901036058107673, z_value: 1.1337059831359926

p_value: 0.0005530890920403621, z_value: 3.2908965343808667
p_value: 1.1104410247630769e-06, z_value: 4.742520068343355
p_value: 2.9337551614420948e-08, z_value: 5.428423606475871
p_value: 1.310742232481742e-09, z_value: 5.957363004641581
p_value: 1.4787438705334486e-10, z_value: 6.303615211788551

p_value: 0.04426688600711478, z_value: 1.7320508075688772
p_value: 0.022193583102849947, z_value: 2.0207259421636903
p_value: 0.040927423919762035, z_value: 1.745654894198672
p_value: 0.011014012185156234, z_value: 2.293548118638149
p_value: 0.03329737436999742, z_value: 1.837023583785173

p_value: 0.39750608598211906, z_value: 0.28867513459481287
p_value: 0.16368291759796566, z_value: 0.989743318610787
p_value: 0.35717342929485674, z_value: 0.3716555581197173
p_value: 0.32085670973964797, z_value: 0.46896830540843937
p_value: 0.5964084844878785, z_value: -0.24143738529747988

p_value: 0.23524321102939483, z_value: 0.7505553499465134
p_value: 0.06481729043950644, z_value: 1.5258542828582966
p_value: 0.11961586137053803, z_value: 1.1825404121991003
p_value: 0.14483575682826494, z_value: 1.0625063169409954
p_value: 0.22252989097143588, z_value: 0.7663012663789579

p_value: 0.2721850729283049, z_value: 0.6350852961085883
p_value: 0.14413779521235104, z_value: 1.0722219284950194
p_value: 0.21360021326157846, z_value: 0.7996225644393917
p_value: 0.21116790197946728, z_value: 0.8060392749207552
p_value: 0.28451613200330395, z_value: 0.572101630378811

p_value: 0.3118024421978445, z_value: 0.5196152422706631
p_value: 0.17942082738016757, z_value: 0.9278843611976129
p_value: 0.3698549480043877, z_value: 0.337868689199743
p_value: 0.2466298779396333, z_value: 0.6887971985686453
p_value: 0.3814035112801562, z_value: 0.30442105102725725

p_value: 0.2721850729283049, z_value: 0.6350852961085883
p_value: 0.1960775608191206, z_value: 0.8660254037844387
p_value: 0.32821030619566427, z_value: 0.4504915855996573
p_value: 0.43740805112025094, z_value: 0.16120785498415102
p_value: 0.5594544541713679, z_value: -0.14696188670281385

p_value: 0.020202059794111847, z_value: 2.0784609690826525
p_value: 0.00020290954416015132, z_value: 3.546580225021987
p_value: 0.00018226503138189784, z_value: 3.570145815877284
p_value: 1.6022127113767967e-05, z_value: 4.162093710499899
p_value: 6.853676706581182e-06, z_value: 4.351121574165453

p_value: 0.3118024421978445, z_value: 0.5196152422706631
p_value: 0.20183185042442087, z_value: 0.8454057513133806
p_value: 0.47979013605112203, z_value: 0.05631144819995716
p_value: 0.6110718534011953, z_value: -0.2784499313362609
p_value: 0.90746106550057, z_value: -1.3226569803253245

p_value: 0.04993870138463208, z_value: 1.6743157806499145
p_value: 0.03101518835494641, z_value: 1.8763883748662837
p_value: 0.010322881170105928, z_value: 2.320031665838235
p_value: 0.005675616462568359, z_value: 2.5353599011143753
p_value: 0.0025127285402793474, z_value: 2.8080217637859075

p_value: 0.026548978642791713, z_value: 1.9629909152447274
p_value: 0.008148631456129022, z_value: 2.4124993391137934
p_value: 0.00304990243623327, z_value: 2.7479986721579097
p_value: 0.0002827433546340046, z_value: 3.4513136226152334
p_value: 0.0018665697507958205, z_value: 2.902497262380573

p_value: 0.3118024421978445, z_value: 0.5196152422706631
p_value: 0.1688262678846491, z_value: 0.969123666139729
p_value: 0.18832388653115817, z_value: 0.8897208815593232
p_value: 0.1272584999875645, z_value: 1.143110244433071
p_value: 0.2601255939769585, z_value: 0.645582573730218

p_value: 0.15616071083810806, z_value: 1.0392304845413263
p_value: 0.20768607981432669, z_value: 0.8247860988423226
p_value: 0.1461649776749287, z_value: 1.0586552261591946
p_value: 0.18862370423765934, z_value: 0.8866432024128307
p_value: 0.09606791657666836, z_value: 1.3069110638928803

p_value: 0.39750608598211906, z_value: 0.28867513459481287
p_value: 0.44669031907101797, z_value: 0.14433756729740643
p_value: 0.6677098612006909, z_value: -0.42796700631967444
p_value: 0.7321026602162053, z_value: -0.6155209008485767
p_value: 0.8858139003397687, z_value: -1.2019382876765847

p_value: 0.0030494729656071833, z_value: 2.7712812921102032
p_value: 9.888531861250731e-05, z_value: 3.7321570972615095
p_value: 3.428131507971535e-05, z_value: 3.986850532556967
