Column 1,Column 2,Column 3,Column 4
6231,9933,9511,7993
A Quiet forest glade with sunlight filtering through tall ancient trees.: 1.0,A quiEt forest glade with Wsunlight filtering through tall ancient trees.: 0.992680549621582,A quiet forest glade with xsunlight filttring through tall ancieEnt trees.: 0.9827643036842346,A quite forest glade with Xsunlight fiotering through all ancient trees.: 0.9661011099815369
A qUiet forest glade with sunlight filtering through tall ancient trees.: 1.0,A quiet foRest glade with sunlight filtering through tall ancienu trees.: 0.9925190210342407,A quiet forest glade with sunlight fultering Bthrough tall acnient trees.: 0.9794753193855286,A qUiet forest glade with sunlight filterig through tlal ancint trees.: 0.9643785953521729
A quIet forest glade with sunlight filtering through tall ancient trees.: 1.0,A quiet forest Oglade with sunlight filtering throuGh tall ancient trees.: 0.9920512437820435,A quiet forest glade with sunlight filtering Bthrough tOall Eancient trees.: 0.9790979623794556,A quiet forest Oglade with sunlight iltering through tall ankcient otrees.: 0.9639454483985901
A quiEt forest glade with sunlight filtering through tall ancient trees.: 1.0,A quiet forest glade with sunlight fiitering through talL ancient trees.: 0.9915575981140137,A Quiet forest glade with sunlight filtwring through qall ancient trees.: 0.9784299731254578,A quiet forets glade with sunlight filgering through tal ancienx trees.: 0.9632412195205688
A quieT forest glade with sunlight filtering through tall ancient trees.: 1.0,A qUiet forest glade with sunlight filtering through all ancient trees.: 0.9914746880531311,A quiet forest glade With sunlight fitlering Gthrough tall ancient trees.: 0.9774144887924194,A quite foreTst glade with Sunlight filtNring through tall ancient trees.: 0.9619505405426025
A quiet Forest glade with sunlight filtering through tall ancient trees.: 1.0,A quiet forest glade with sunight filtering through tall ancIent trees.: 0.9911413788795471,A quiet forest glade with sunlight Wfiltering through taDl ancent trees.: 0.975319504737854,A quiet forEst glade with sunlight filtering htrough tlal anfient trees.: 0.9613692164421082
A quiet fOrest glade with sunlight filtering through tall ancient trees.: 1.0,A quiet forest glade wiTh sunlight filterng through tall ancient trees.: 0.9906507730484009,A quiet forest glade with sunlight filering through tall ancuent Ytrees.: 0.9750062227249146,A quite forest glade wth sunight fiItering through tall ancient trees.: 0.9612725973129272
A quiet foRest glade with sunlight filtering through tall ancient trees.: 1.0,A quiet forest glade wth sunlight filtering througH tall ancient trees.: 0.9906341433525085,A quiet forest glade with sunlIght fltering through tall ancient tree.: 0.9743742346763611,A qujet forest glade mwith sunlight filtreing through tAll ancient trees.: 0.9608558416366577
A quiet forEst glade with sunlight filtering through tall ancient trees.: 1.0,A quiet forest gladE with sunlight filteering through tall ancient trees.: 0.9897090196609497,A quiet forest glade with sunlight filRtering through tall ancent tree.: 0.9742197394371033,A quiet forest glade with sunlight filternig Bthrough tal ancietn trees.: 0.9606415629386902
A quiet foreSt glade with sunlight filtering through tall ancient trees.: 1.0,A quiet forest glade with sunlight filtering throuGh tall ancieont trees.: 0.9893883466720581,A quiet forest glade with sunlight fitering through atll Qancient trees.: 0.9741320013999939,A quiet foret glade with sunlight fillering through all ancBent trees.: 0.959101140499115
A quiet foresT glade with sunlight filtering through tall ancient trees.: 1.0,A quiet forest Glade with sunlight foltering through tall ancient trees.: 0.9892546534538269,A quiet forest glade with sunlight filtering through tll ancfent tRees.: 0.9739415645599365,A quite forest glade with sunlight filterign through tvll ancIent trees.: 0.9585691094398499
A quiet forest Glade with sunlight filtering through tall ancient trees.: 1.0,A quiet forest glade with sunight filtering through tall uancient trees.: 0.9889162182807922,A quiet forEst glade with sunlight filtering thgough tall acnient trees.: 0.9736353158950806,A quiet forest glade with sunight filtwring through twall anciBent trees.: 0.9582456350326538
A quiet forest gLade with sunlight filtering through tall ancient trees.: 1.0,A quiet forest glade with sunlight filtIering thRough tall ancient trees.: 0.988881528377533,A quiet forest glade with Sunlight filtering htrough tnll ancient trees.: 0.9735451936721802,A quiet forest glade wit sunlight filtering through tal anient tree.: 0.9578166007995605
