Column 1,Column 2
4872,7945
A Young man sits up against a tree while using a laptop computer.: 1.0,A young man sits up against a tree whiRe using a laptop compUter.: 0.9940508604049683
A yOung man sits up against a tree while using a laptop computer.: 1.0,A younG man sits up against a tree hile using a laptop computer.: 0.9937041401863098
A yoUng man sits up against a tree while using a laptop computer.: 1.0,A young man sits up against a Tree hile using a laptop computer.: 0.9937041401863098
A youNg man sits up against a tree while using a laptop computer.: 1.0,A young man sits up againSt a tree whiel using a laptop computer.: 0.9923350811004639
A younG man sits up against a tree while using a laptop computer.: 1.0,A young man siTs up against a tree while using a laptop computOer.: 0.989460289478302
A young Man sits up against a tree while using a laptop computer.: 1.0,A young man sits up against a tree while using a laptOp compuetr.: 0.9888025522232056
A young mAn sits up against a tree while using a laptop computer.: 1.0,A young man sits up aGainst a tree while using a laptop compuer.: 0.9886248111724854
A young maN sits up against a tree while using a laptop computer.: 1.0,A young man sits up against a tree while uzing a laptop compurer.: 0.9885066747665405
A young man Sits up against a tree while using a laptop computer.: 1.0,A young man sits up Sagainst a tree while using a laptop Jcomputer.: 0.9882397055625916
A young man sIts up against a tree while using a laptop computer.: 1.0,A young man sits up against a tree whice using a laptop computr.: 0.9882112145423889
A young man siTs up against a tree while using a laptop computer.: 1.0,A young man sits up against a tree whil using a laptop rcomputer.: 0.9880716800689697
A young man sitS up against a tree while using a laptop computer.: 1.0,A young man sits up against a tRee whUle using a laptop computer.: 0.9879879951477051
A young man sits Up against a tree while using a laptop computer.: 1.0,A young man sit p against a tree while using a laptop computer.: 0.9876992702484131
A young man sits uP against a tree while using a laptop computer.: 1.0,A young man sits up against a tree whil using a laptop computr.: 0.9876458048820496
A young man sits up Against a tree while using a laptop computer.: 1.0,A young man sits up against a tree while esing a laptop compuHter.: 0.9875126481056213
A young man sits up aGainst a tree while using a laptop computer.: 1.0,A young man sits up against a tree hile using a laptop computr.: 0.9871792197227478
A young man sits up agAinst a tree while using a laptop computer.: 1.0,A young Man sits up against a tree while usiSng a laptop computer.: 0.9871546626091003
A young man sits up agaInst a tree while using a laptop computer.: 1.0,A young man sits up against a tree whIle usung a laptop computer.: 0.9869892597198486
A young man sits up agaiNst a tree while using a laptop computer.: 1.0,A young man sits up against a tree whil uing a laptop computer.: 0.9867502450942993
A young man sits up againSt a tree while using a laptop computer.: 1.0,A young maN sits p against a tree while using a laptop computer.: 0.9866883158683777
A young man sits up againsT a tree while using a laptop computer.: 1.0,A young man sits p against a trEe while using a laptop computer.: 0.9866883158683777
A young man sits up against a Tree while using a laptop computer.: 1.0,A young man sits up against a tree hile uzing a laptop computer.: 0.9863400459289551
A young man sits up against a tRee while using a laptop computer.: 1.0,A young man sits up against a tree whle uing a laptop computer.: 0.9860800504684448
A young man sits up against a trEe while using a laptop computer.: 1.0,A young man sits up against a tree whjle Ysing a laptop computer.: 0.9857843518257141
A young man sits up against a treE while using a laptop computer.: 1.0,A young man sits up against a tree whil using a laptop computedr.: 0.9857236742973328
A young man sits up against a tree While using a laptop computer.: 1.0,A young man sits Up against a tree whilr using a laptop computer.: 0.985605001449585
A young man sits up against a tree wHile using a laptop computer.: 1.0,A young man sits up against a tree whole using a laptop computr.: 0.9855749607086182
A young man sits up against a tree whIle using a laptop computer.: 1.0,A young man sits up against a tree while usong a laptop compuzter.: 0.9851351380348206
A young man sits up against a tree whiLe using a laptop computer.: 1.0,A young man sits up againxt a tree while using a laptop coMputer.: 0.9851121306419373
A young man sits up against a tree whilE using a laptop computer.: 1.0,A young man sits up against a tree hwile using a laptop compuKter.: 0.9849479794502258
