Column 1,Column 2
5611,9435
Several young students working at a desk with multiple computers: 1.0,several young studenTs working at a desk wth multiple computers: 0.9966094493865967
sEveral young students working at a desk with multiple computers: 1.0,several Young students working at a desk wit multiple computers: 0.996504008769989
seVeral young students working at a desk with multiple computers: 1.0,several young students Working at a desk wit multiple computers: 0.996504008769989
sevEral young students working at a desk with multiple computers: 1.0,seVeral young students working a a desk with multiple computers: 0.9928598999977112
seveRal young students working at a desk with multiple computers: 1.0,seveRal young students working a a desk with multiple computers: 0.9928598999977112
severAl young students working at a desk with multiple computers: 1.0,several young Students working at a desk with multiple bcomputers: 0.9926531314849854
severaL young students working at a desk with multiple computers: 1.0,several young Kstudents working at a desk wit multiple computers: 0.9923538565635681
several Young students working at a desk with multiple computers: 1.0,several young students workxing At a desk with multiple computers: 0.9921907186508179
several yOung students working at a desk with multiple computers: 1.0,several young studenHs working aT a desk with multiple computers: 0.9908429384231567
several yoUng students working at a desk with multiple computers: 1.0,several youNg studenst working at a desk with multiple computers: 0.9902781844139099
several youNg students working at a desk with multiple computers: 1.0,several younG students working at a desk with mulitple computers: 0.9897201061248779
several younG students working at a desk with multiple computers: 1.0,several young students working at a desk wIth multiple qcomputers: 0.9895910620689392
several young Students working at a desk with multiple computers: 1.0,several younTg students fworking at a desk with multiple computers: 0.9895102977752686
several young sTudents working at a desk with multiple computers: 1.0,several oung students nworking at a desk with multiple computers: 0.9894717931747437
several young stUdents working at a desk with multiple computers: 1.0,several younQg students working at a desk with Nmultiple computers: 0.9892446994781494
several young stuDents working at a desk with multiple computers: 1.0,several young students working at a desk wiTh multiple compurers: 0.9891883730888367
several young studEnts working at a desk with multiple computers: 1.0,several young students working at a desk wit muliple computers: 0.9887221455574036
several young studeNts working at a desk with multiple computers: 1.0,several young studenst workirg at a desk with multiple computers: 0.9886454343795776
several young studenTs working at a desk with multiple computers: 1.0,several oung students working at a desk wit multiple computers: 0.9886036515235901
several young studentS working at a desk with multiple computers: 1.0,several younb students working at a desk with Smultiple computers: 0.9885228276252747
several young students Working at a desk with multiple computers: 1.0,several young student owrking at a desk with multiple computers: 0.9881532788276672
several young students wOrking at a desk with multiple computers: 1.0,several younr students Vworking at a desk with multiple computers: 0.9880630970001221
several young students woRking at a desk with multiple computers: 1.0,several young studnts working at a desk wit multiple computers: 0.987912118434906
several young students worKing at a desk with multiple computers: 1.0,several young studenrs Lworking at a desk with multiple computers: 0.9878031015396118
several young students workIng at a desk with multiple computers: 1.0,several young students working at a desk wth multNiple computers: 0.9877098798751831
several young students workiNg at a desk with multiple computers: 1.0,several young students working t a dEsk with multiple computers: 0.9876703023910522
several young students workinG at a desk with multiple computers: 1.0,several young students working at a desk wigh multiple computerS: 0.9872777462005615
several young students working At a desk with multiple computers: 1.0,several oung students working at a desk wth multiple computers: 0.9872370362281799
several young students working aT a desk with multiple computers: 1.0,several young students working at a desk wIth multipae computers: 0.987201452255249
several young students working at a Desk with multiple computers: 1.0,several young studnts working at a desk wth multiple computers: 0.9871801137924194
several young students working at a dEsk with multiple computers: 1.0,several young studenfs working at a desk with multple computers: 0.9870948195457458
several young students working at a deSk with multiple computers: 1.0,several young student working at a desk with mutliple computers: 0.9870808720588684
several young students working at a desK with multiple computers: 1.0,several young students working at a desk wit multiple Qcomputers: 0.9870710968971252
several young students working at a desk With multiple computers: 1.0,several young studnts working at a desk with multple computers: 0.9870550036430359
several young students working at a desk wIth multiple computers: 1.0,several youNg students working at a desk with multipple computers: 0.9870416522026062
several young students working at a desk wiTh multiple computers: 1.0,several young students workng at a desk with fmultiple computers: 0.9869566559791565
several young students working at a desk witH multiple computers: 1.0,several young students Eworking at a desk with muliple computers: 0.986889123916626
several young students working at a desk with Multiple computers: 1.0,several younlg students workinAg at a desk with multiple computers: 0.9868647456169128
several young students working at a desk with mUltiple computers: 1.0,several oung students working at a desk with multiSle computers: 0.9868547320365906
several young students working at a desk with muLtiple computers: 1.0,several young students sworking at a desk with multiple computer: 0.9867237210273743
several young students working at a desk with mulTiple computers: 1.0,several young students working at a desk wit multiply computers: 0.9865946769714355
several young students working at a desk with multIple computers: 1.0,several oung tstudents working at a desk with multiple computers: 0.9863178730010986
several young students working at a desk with multiPle computers: 1.0,several young students owrking at a desk wit multiple computers: 0.986282467842102
several young students working at a desk with multipLe computers: 1.0,several younqg students working at a desk wit multiple computers: 0.9861853122711182
several young students working at a desk with multiplE computers: 1.0,several young studentf working at a desk wit multiple computers: 0.9860952496528625
several young students working at a desk with multiple Computers: 1.0,several youNng students working a a desk with multiple computers: 0.9860020875930786
